task id,run #,individual,model 1,model 2,model 3,model 4,model 5
2073,8,0.7114093959731543,0.6912751677852349,0.7114093959731543,0.6845637583892618,0.7114093959731543,0.7046979865771812
2073,12,0.7046979865771812,0.6912751677852349,0.7114093959731543,0.6845637583892618,0.7114093959731543,0.6711409395973155
190146,12,0.8941176470588236,0.8823529411764706,0.8470588235294118,0.8470588235294118,0.8352941176470589,0.8823529411764706
190146,13,0.8705882352941177,0.8941176470588236,0.8705882352941177,0.8588235294117647,0.8705882352941177,0.8823529411764706
359954,10,0.6891891891891891,0.6486486486486487,0.6351351351351351,0.6486486486486487,0.6486486486486487,0.6621621621621622
168784,4,0.8358974358974359,0.8102564102564103,0.8307692307692308,0.8153846153846154,0.8153846153846154,0.8153846153846154
168784,7,0.841025641025641,0.8,0.8205128205128205,0.8102564102564103,0.8153846153846154,0.7897435897435897
359959,9,0.6148648648648649,0.5405405405405406,0.5878378378378378,0.5405405405405406,0.5675675675675675,0.581081081081081
2073,11,0.7248322147651006,0.7114093959731543,0.7181208053691275,0.7248322147651006,0.7248322147651006,0.7449664429530202
168784,5,0.841025641025641,0.8256410256410256,0.8256410256410256,0.8256410256410256,0.8256410256410256,0.8307692307692308
2073,10,0.7181208053691275,0.6644295302013423,0.6711409395973155,0.6778523489932886,0.7046979865771812,0.6510067114093959
168784,12,0.8512820512820513,0.7846153846153846,0.8256410256410256,0.8,0.8153846153846154,0.8051282051282052
168784,0,0.8358974358974359,0.8102564102564103,0.8153846153846154,0.8307692307692308,0.8205128205128205,0.8256410256410256
359954,1,0.7162162162162162,0.6351351351351351,0.6891891891891891,0.6891891891891891,0.6621621621621622,0.6351351351351351
359954,13,0.6756756756756757,0.6486486486486487,0.6486486486486487,0.6621621621621622,0.6351351351351351,0.6486486486486487
2073,9,0.7181208053691275,0.6577181208053692,0.6644295302013423,0.6778523489932886,0.6711409395973155,0.610738255033557
359959,12,0.6283783783783784,0.5878378378378378,0.581081081081081,0.5540540540540541,0.5945945945945946,0.581081081081081
168784,10,0.8256410256410256,0.8205128205128205,0.8256410256410256,0.8153846153846154,0.8256410256410256,0.8153846153846154
